course_id,active_course,category,instractor,original_price,name,url,short_description,sections_count,lectures_count,duration_str,language,last_update_date,caourse_rating,rating_count,best_rating,worst_rating,position_1,position_2,position_3,enrollment
2096842,1,Development,javascript-academy,$119.99,SQLite for beginners,https://www.udemy.com/course/sqlite-for-beginners/,Practical Hands -on Introduction to SQLite,8,49,4h 5m,English,6/2021,4.4,112,5,0.5,Development,Database Design & Development,SQLite,"3,179"
3236235,1,Development,rahul-academy,$199.99,Devops Fundamentals - CI/CD with AWS +Docker+Ansible+Jenkins,https://www.udemy.com/course/devops-fundamentals-aws/,"Step by step Practical course to Automate Continuous Integration/Delivery process with Ansible,Jenkins,GIT,Docker on AWS",13,58,8h 51m,English,11/2021,4.4,2500,5,0.5,Development,Software Development Tools,DevOps,"17,665"
2988218,1,Development,javascript-academy,$49.99,How To  Create Login Form with Visual Studio and  SQL Server,https://www.udemy.com/course/how-to-create-login-form-with-visual-studio-and-sql-server/,Create a login form step by step in Visual Studio  and connect to SQL Server using C#,3,28,1h 52m,English,6/2021,4.3,15,5,0.5,Development,Database Design & Development,C#,"3,321"
699088,1,Development,javascript-academy,$54.99,Real World Oracle SQL Queries Examples,https://www.udemy.com/course/learn-real-world-sql-queries-used-on-oracle-database/,Create reports and solutions using oracle SQL,3,29,2h 44m,English,8/2021,,,,,Development,Database Design & Development,Oracle SQL,78
3681272,1,IT & Software,javascript-academy,$19.99,"Command Line for beginners: (Linux, MacOS, Windows)",https://www.udemy.com/course/command-line-for-beginners-linux-macos-windows/,Perform useful tasks from the command line interface,1,15,50m,English,6/2021,4.0,57,5,0.5,IT & Software,Operating Systems & Servers,Command Line,"4,995"
4384154,1,Business,javascript-academy,$39.99,Microsoft SQL Analyst- MS SQL |Azure SQL| SSMS |Data Studio,https://www.udemy.com/course/microsoft-sql-analyst-ms-sql-azure-sql-ssms-data-studio/,Data Analysis using: MS SQL |Azure SQL| SSMS |Data Studio,3,48,4h 30m,English,11/2021,4.7,4,5,0.5,Business,Business Analytics & Intelligence,Microsoft SQL,"1,805"
3350306,1,Development,javascript-academy,$109.99,Data Science and Machine Learning For Beginners with Python,https://www.udemy.com/course/data-science-and-machine-learning-for-beginners-with-python-c/,"Learn to Analyse , Make Predictions, Explore data Frames,Clean and Visualize Data",6,79,7h 55m,English,6/2021,3.8,495,5,0.5,Development,Data Science,,"30,029"
3251302,1,Development,365careers,$199.99,"The Data Visualization Course: Excel, Tableau, Python, R",https://www.udemy.com/course/the-complete-data-visualization-course/,"Data visualization in Excel, Tableau, Python, and R. Create stunning charts and learn the most in-demand skills in 2020",12,115,8h 52m,English,3/2021,4.5,591,5,0.5,Development,Data Science,Data Visualization,"5,610"
2430380,1,Finance & Accounting,ehab-mesallum,$49.99,Finance for non Financials الإدارة المالية لغير الماليين,https://www.udemy.com/course/finance-for-non-financials-ehab-mesallum/,تبسيط الحسابات والإدارة المالية للمديرين وأصحاب الشركات وريادة الأعمال والاستثمار، المحاسبة لغير المحاسبين د. ايهاب مسلم,6,20,2h 9m,Arabic,7/2020,4.7,284,5,0.5,Finance & Accounting,Finance,Finance Fundamentals,717
608250,1,IT & Software,mikewest2,$19.99,Real World SQL Server From The Ground Up,https://www.udemy.com/course/real-world-sql-server-from-the-ground-up/,The First Course In A Series of Real World Insights On SQL Server,8,44,1h 34m,English,3/2016,4.4,524,5,0.5,IT & Software,Other IT & Software,SQL Server,"23,407"
2643064,1,Business,365careers,$199.99,Entrenamiento completo en Data Science con Python 2022,https://www.udemy.com/course/programa-completo-de-data-science-todo-para-los-datos/,"Formación completa en ciencia de datos: Matemáticas, Estadística, Python, Estadística Avanzada, Aprendizaje Automático",45,292,16h 22m,Spanish,,4.6,1804,5,0.5,Business,Business Analytics & Intelligence,Data Science,"6,349"
4051480,1,Development,javascript-academy,$74.99,"Database Engineer/DBA - (PostgreSQL, IBM-DB2, MariaDB,NoSQL)",https://www.udemy.com/course/database-engineerdba-postgresql-ibm-db2-mariadbnosql/,Practical Database Engineering | Administration,23,191,18h 15m,English,7/2021,4.2,124,5,0.5,Development,Database Design & Development,Database Administration,"29,428"
688874,1,Development,javascript-academy,$64.99,JSON For Beginners: A Very Basic Introduction,https://www.udemy.com/course/json-for-beginners-a-very-basic-introduction/,Learn the very basics of JSON and how it create it's own Objects and Arrays to display data,1,9,54m,English,6/2021,3.4,100,5,0.5,Development,Web Development,JSON,"13,932"
4376116,1,Business,javascript-academy,$74.99,"Querying Databases with SQL and NoSQL:  PostgreSQL ,MongoDB",https://www.udemy.com/course/querying-databases-with-sql-and-nosql-postgresql-mongodb/,Query and Manipulate Databases,4,62,6h 51m,English,11/2021,5.0,1,5,0.5,Business,Business Analytics & Intelligence,Database Administration,"1,002"
4004736,1,Teaching & Academics,javascript-academy,$49.99,Automate Web Scraping Using  Python Scripts and Spiders,https://www.udemy.com/course/automate-web-scraping-using-python-scripts-and-spiders/,Build Scripts and Spiders from scratch to extract data from the internet.,5,40,3h 51m,English,6/2021,4.2,60,5,0.5,Teaching & Academics,Engineering,Web Scraping,"20,404"
1978132,1,Business,365careers,$199.99,The Project Management Course: Beginner to PROject Manager,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,The Complete Course for becoming a Successful Project Manager,19,100,7h 17m,English,9/2021,4.6,13407,5,0.5,Business,Project Management,,"51,542"
854440,1,Teaching & Academics,alto-ray,$39.99,American English Pronunciation,https://www.udemy.com/course/basic-american-pronunciation/,"Master basic English sounds and start speaking like an American, with confidence!",4,18,2h 54m,English,11/2021,4.8,4187,5,0.5,Teaching & Academics,Language Learning,English Pronunciation,"16,897"
3355136,1,Development,javascript-academy,$189.99,Python and Django Full-Stack  Web Development for beginners,https://www.udemy.com/course/python-and-django-full-stack-web-development-for-beginners/,"Build web projects with HTML, CSS,BOOTSTRAP,JavaScript,Python ,Django,PostgreSQL",30,353,34h 20m,English,6/2021,4.3,621,5,0.5,Development,Web Development,API,"33,331"
3559717,1,Development,javascript-academy,$34.99,"Build Database  Driven Apps with : SQL Server ,  C# , Python",https://www.udemy.com/course/build-database-driven-apps-with-sql-server-c-python/,Practical Front & Backend Application Development,5,52,5h 20m,English,7/2021,4.4,34,5,0.5,Development,Database Design & Development,SQL,"21,439"
3664734,1,Development,mohammad-azam-2,$199.99,Writing Clean Code,https://www.udemy.com/course/writing-clean-code-swift/,"Implementing maintainable, readable and easy to understand code in any programming language",10,42,4h 37m,English,7/2021,4.7,56,5,0.5,Development,Mobile Development,Software Practices,370
2451668,1,Development,javascript-academy,$19.99,Introduction to Python Functions for beginners,https://www.udemy.com/course/introduction-to-python-functions-for-beginners/,Learn how to create functions step by step,2,24,2h 7m,English,6/2021,4.2,19,5,0.5,Development,Programming Languages,Python,"3,504"
4144800,1,Business,sam-mckay-14,$99.99,Power BI Super Users Workshop,https://www.udemy.com/course/power-bi-super-users-workshop/,"An in depth overview of the entire Power BI suite, with a focus on using Power BI to extract compelling insights",7,57,6h 4m,English,10/2021,4.4,207,5,0.5,Business,Business Analytics & Intelligence,Microsoft Power BI,"14,965"
4131750,1,Development,javascript-academy,$19.99,Learn How To Extract Web Data with Python and Beautiful Soup,https://www.udemy.com/course/learn-how-to-extract-web-data-with-python-and-beautiful-soup/,Extract (scrape)  data from websites,2,16,1h 29m,English,6/2021,4.2,12,5,0.5,Development,Data Science,Web Scraping,"2,502"
1166500,1,Development,javascript-academy,$124.99,Data Analysis with  Oracle Analytic Functions,https://www.udemy.com/course/data-analysis-with-oracle-analytic-functions/,Learn data analysis by using Oracle Analytic functions to manipulate data,2,27,2h 39m,English,6/2021,4.4,41,5,0.5,Development,Database Design & Development,Data Analysis,"1,147"
3683208,1,Development,javascript-academy,$19.99,Python Crash Course for beginners,https://www.udemy.com/course/python-crash-course-for-beginners-j/,Learn Python from scratch and create some projects,3,23,1h 58m,English,6/2021,4.3,26,5,0.5,Development,Programming Languages,Python,"2,922"
2096014,1,Development,mohammad-azam-2,$19.99,Intermediate and Advanced iOS - Build Real World Apps,https://www.udemy.com/course/building-real-world-ios-apps-using-swift/,"Learn iOS 12, MVVM Design Pattern, Firebase (Firestore), Instagram Clone and Swift Language",13,73,8h 22m,English,2/2019,4.6,66,5,0.5,Development,Mobile Development,iOS Development,598
567828,1,Development,joseportilla,$199.99,Python Bootcamps: Learn Python Programming and Code Training,https://www.udemy.com/course/complete-python-bootcamp/,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,23,155,22h 13m,English,3/2021,4.6,391576,5,0.5,Development,Programming Languages,Python,"1,422,577"
653932,1,Development,javascript-academy,$194.99,Practical SQL Skills For Jobs | Businesses | Enterpreneurs,https://www.udemy.com/course/practical-sql-skills-for-jobs-businesses-enterpreneurs/,Learn SQL one of the most in demand  IT skills requested by employers|SQL is useful to Businesses and Enterpreneurs,10,81,7h 25m,English,6/2021,3.6,23,5,0.5,Development,Database Design & Development,SQL,379
1630412,1,Business,365careers,$199.99,Blockchain for Business: The New Industrial Revolution,https://www.udemy.com/course/blockchain-for-business-the-new-industrial-revolution/,Blockchain Technology Will Transform How Businesses Operate. Do You Want to Be a Part of the Blockchain Journey?,11,71,6h 5m,English,1/2021,4.5,5517,5,0.5,Business,Entrepreneurship,Blockchain,"24,582"
1627506,1,Development,javascript-academy,$119.99,Cassandra for Beginners,https://www.udemy.com/course/cassandra-for-beginners/,Practical Hands -on Introduction to Cassandra,4,40,3h 5m,English,6/2021,3.9,39,5,0.5,Development,Database Design & Development,Apache Cassandra,"1,350"
1300942,1,Development,javascript-academy,$164.99,Build your own Instagram with Ruby on Rails from scratch,https://www.udemy.com/course/build-your-own-instagram-with-ruby-on-rails-from-scratch/,Learn to code your own type of  Instagram  App step by step using Ruby on Rails Framework,8,112,11h 32m,English,6/2021,3.4,9,5,0.5,Development,Web Development,Ruby on Rails,76
2547143,1,Development,javascript-academy,$109.99,Learn Coding: C++ & Python,https://www.udemy.com/course/learn-coding-c-python/,Practical Hands On Coding with C++ and Python from scratch,15,105,10h 47m,English,6/2021,4.1,55,5,0.5,Development,Programming Languages,C++,"2,279"
1586650,1,Development,javascript-academy,$109.99,GraphQL: Introduction to GraphQL for beginners,https://www.udemy.com/course/graphql-introduction-to-graphql-for-beginners/,"Learn about GraphQL, how it works step by step",6,30,2h 25m,English,6/2021,4.0,82,5,0.5,Development,Database Design & Development,GraphQL,983
602640,1,Personal Development,driescouckuyt,$29.99,The Speed Reading Process: Expand Your Knowledge!,https://www.udemy.com/course/the-speed-reading-process-expand-your-knowledge/,Tackle a huge amount of informative literature in no time! Become the expert in any topic & set yourself up for success!,4,26,2h 27m,English,,3.4,332,5,0.5,Personal Development,Memory & Study Skills,Speed Reading,"7,824"
1744980,1,Development,javascript-academy,$129.99,Learn Expressjs for beginners: A JavaScript Framework,https://www.udemy.com/course/learn-expressjs-for-beginners-a-javascript-framework/,Create a Basic Server and Integrate a Database step by step,6,40,3h 22m,English,6/2021,4.0,4,5,0.5,Development,Web Development,Express Framework,"1,184"
1035472,1,Data Science,365careers,$194.99,Python for Finance: Financial Investment and Data Analytics,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,20,133,8h 50m,English,11/2021,4.6,23273,5,0.5,Finance & Accounting,Financial Modeling & Analysis,Python,"109,795"
2356864,1,Development,javascript-academy,$114.99,Learn C++  from scratch,https://www.udemy.com/course/learn-c-from-scratch-p/,Practical Hands -on Introduction to C++,5,50,4h 50m,English,6/2021,4.1,193,5,0.5,Development,Programming Languages,C++,"24,784"
2626524,1,Finance & Accounting,365careers,$199.99,Exam Prep: CFA® Level 1 Bootcamp 2021 Curriculum (Part 1/2),https://www.udemy.com/course/the-level-1-cfa-bootcamp/,"CFA® Level 1 Bootcamp: Ethics, Quantiative Methods, Corporate Finance, Economics, and Alternative Investments",27,372,26h 3m,English,7/2021,4.6,1648,5,0.5,Finance & Accounting,Finance Cert & Exam Prep,CFA,"11,860"
3681234,1,IT & Software,365careers,$199.99,Excelスキルを上げたい方へ【世界で14万人が受講】実務で使える！世界スタンダードの実践型エクセル術、完全マスター講座,https://www.udemy.com/course/proexcel/,外資企業でエクセルを使いこなしてきた講師による実践的なエクセル講座。グラフ、ピボットテーブル、マクロ、財務モデル、損益計算書・貸借対照表、企業価値分析、資本予算など、実務で使えるエクセルのスキルを一気に身につけることができます。,20,215,12h 48m,Japanese,4/2021,4.3,162,5,0.5,IT & Software,Other IT & Software,Excel Analytics,"2,977"
1749824,1,Development,javascript-academy,$124.99,Writing Advanced SQL Queries on Oracle,https://www.udemy.com/course/writing-advanced-sql-queries-on-oracle/,Learn to execute more advanced queries on Oracle Database,4,28,2h 43m,English,6/2021,3.4,13,5,0.5,Development,Database Design & Development,Oracle SQL,"1,387"
2762776,1,Marketing,ehab-mesallum,$39.99,Product سلسلة التسويق: قرارات المنتج وصنع الميزة التنافسية,https://www.udemy.com/course/marketing-product/,سنحلل تفاصيل المنتج والخدمة للوصول إلى ميزات تنافسية وقيمة تجتذب عملاءك وتحافظ عليهم متفوقا على المنافسين د. إيهاب مسلم,13,42,4h 52m,Arabic,1/2020,4.9,31,5,0.5,Marketing,Marketing Fundamentals,Marketing Management,142
358062,1,Finance & Accounting,365careers,$94.99,Financial Modeling: Build a Complete DCF Valuation Model,https://www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/,The Ultimate Guide to Company Valuation For Aspiring Investment Bankers and Corporate Finance Practitioners,11,76,4h 14m,English,1/2021,4.3,3998,5,0.5,Finance & Accounting,Financial Modeling & Analysis,Company Valuation,"23,326"
2643066,1,Development,365careers,$199.99,Bootcamp Completo em Data Science com Python 2021,https://www.udemy.com/course/curso-de-data-science-bootcamp-completo-em-data-science/,"Treinamento Completo em Data Science: Matemática, Estatística, Python, Estatística Avançada, Machine & Deep Learning",45,291,16h 22m,Portuguese,7/2020,4.4,479,5,0.5,Development,Data Science,,"2,463"
1988838,1,Development,javascript-academy,$94.99,Learn to create database Apps Using C# and SQL Server,https://www.udemy.com/course/learn-to-create-database-projects-using-c-and-sql-server/,Build and Program Database driven projects,5,35,3h 10m,English,6/2021,4.0,82,5,0.5,Development,Database Design & Development,C#,"15,156"
4314702,1,IT & Software,365careers,$199.99,【DX人材への第一歩を踏み出そう】データ分析/データリテラシーの基礎教養マスターコース（グローバルで活躍する講師が解説）,https://www.udemy.com/course/dataliteracy/,データリテラシーを身に付けたい方のためのコースです。データの理解、データの種類、データの保管などの概念に加え、ビッグデータ、グラフデータベース、機械学習、統計的検定、有意水準、データレイクなど、データサイエンスにまつわる重要な用語を解説。,5,57,4h 6m,Japanese,10/2021,4.3,29,5,0.5,IT & Software,Other IT & Software,,363
3627350,1,Development,nikolai-schuler,$199.99,Statistics & Mathematics for Data Science & Data Analytics,https://www.udemy.com/course/statistics-for-data-science-data-analytics/,Learn the statistics & probability for data science and business analysis,9,91,11h 24m,English,11/2021,4.6,523,5,0.5,Development,Data Science,Statistics,"3,152"
4227994,1,Development,javascript-academy,$129.99,Front End  Developer - HTML CSS  Bootstrap JavaScript React,https://www.udemy.com/course/front-end-developer-html-css-bootstrap-javascript-react/,Learn Front End Web Development Skills from scratch,15,163,15h 37m,English,8/2021,3.6,9,5,0.5,Development,Web Development,Front End Web Development,884
4380474,1,Development,javascript-academy,$64.99,SQL for beginners with:  Microsoft SQL Server | PostgreSQL,https://www.udemy.com/course/sql-for-beginners-with-microsoft-sql-server-postgresql/,Query and interact with databases using SQL,9,77,8h 22m,English,11/2021,4.9,5,5,0.5,Development,Database Design & Development,SQL,"2,516"
1346056,1,Development,javascript-academy,$134.99,Learn MongoDB from scratch: Absolute beginner's introduction,https://www.udemy.com/course/learn-mongodb-from-scratch-absolute-beginners-introduction/,MongoDB is a NoSQL Database. This bginner's course will teach you the basics.,4,41,3h 23m,English,6/2021,3.9,45,5,0.5,Development,Database Design & Development,MongoDB,"2,470"
2452606,1,Business,365careers,$194.99,MBA完整商业课程(MBA in a Box in Chinese),https://www.udemy.com/course/mbamba-in-a-box-in-chinese/,完整的MBA培训：商业战略，管理，市场营销，会计，决策和谈判,44,191,11h 38m,Simplified Chinese,7/2019,4.5,124,5,0.5,Business,Entrepreneurship,MBA,583
1947008,1,Development,javascript-academy,$119.99,PostgreSQL Database Administration (DBA) for Beginners,https://www.udemy.com/course/postgresql-database-administration-dba-for-beginners/,Learn Practical Database Administration,13,111,11h 10m,English,6/2021,3.8,383,5,0.5,Development,Database Design & Development,PostgreSQL,"5,355"
1910506,1,Finance & Accounting,365careers,$199.99,"Tesla Company Analysis: Strategy, Marketing, Financials",https://www.udemy.com/course/tesla-company-analysis-strategy-marketing-financials/,"Acquire the #1 Skill Needed For Investment banking, Private equity, and Consulting - Company analysis",6,56,3h 46m,English,1/2021,4.6,507,5,0.5,Finance & Accounting,Finance,Investing,"4,481"
2774328,1,Marketing,ehab-mesallum,$39.99,مواجهة الضغوط الخارجية المباشرة التي تتسبب في خسارة الشركات,https://www.udemy.com/course/micro-environment/,البيئة المباشرة المحيطة بشركتك تتكون من قوى شرسة تضغط عليك وقد تتسبب في خسارتك، ما هي؟ وكيف ستتعامل معها؟ د. ايهاب مسلم,6,24,1h 19m,Arabic,5/2020,4.6,23,5,0.5,Marketing,Marketing Fundamentals,Business Development,86
2812245,1,Finance & Accounting,365careers,$199.99,The Macroeconomics Course 2021,https://www.udemy.com/course/the-macroeconomics-course-2020/,Aggregate Output and Economic Growth. Business Cycles. Monetary and Fiscal Policy. International Trade and Capital Flows,6,72,5h 4m,English,1/2021,4.4,403,5,0.5,Finance & Accounting,Economics,,"4,113"
2771642,1,Development,javascript-academy,$79.99,Python and  Data Science  for beginners,https://www.udemy.com/course/introduction-to-data-science-with-python-for-beginners/,Learn hands-on data science and Python from scratch,3,40,4h 23m,English,6/2021,4.3,341,5,0.5,Development,Data Science,Python,"41,573"
3663356,1,IT & Software,it-versity,$19.99,Mastering SQL using Postgresql,https://www.udemy.com/course/mastering-sql-using-postgresql/,"Learn key SQL concepts such as how to create database objects, write effective queries and many more",10,105,9h 25m,English,3/2021,4.9,28,5,0.5,IT & Software,Other IT & Software,SQL,"6,248"
1824130,1,Design,lindsay-marsh,$179.99,Graphic Design Masterclass Intermediate: The NEXT Level,https://www.udemy.com/course/graphic-design-masterclass-the-next-level/,"Up Your Graphic Design Skills: Logo Design, Photo Manipulation, Package Design, Infographics, Portfolio Building, Grids!",28,133,16h 44m,English,10/2021,4.7,2591,5,0.5,Design,Graphic Design & Illustration,Graphic Design,"28,094"
321410,1,Office Productivity,365careers,$194.99,Excel Financial Modeling: Models and Valuation Course,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,26,286,15h 15m,English,11/2021,4.6,37620,5,0.5,Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,"160,768"
1135320,1,Development,javascript-academy,$114.99,Beginner Data Analysis Using SQL and Microsoft SQL Server,https://www.udemy.com/course/beginner-data-analysis-using-sql-and-microsoft-sql-server/,Learn Hands-On  how to build Real World SQL Queries  to answer questions with data.,3,40,2h 46m,English,6/2021,4.0,74,5,0.5,Development,Database Design & Development,SQL,"5,953"
3543948,1,Design,lindsay-marsh,$199.99,The Branding Masterclass The Entire Brand Design Process,https://www.udemy.com/course/the-branding-masterclass-the-entire-brand-design-process/,"Sketching, Graphic Design, Logo Design, Brand Voice, Color & Typographic Systems, Portfolio and Client Presentations",13,56,8h 30m,English,11/2020,4.8,1291,5,0.5,Design,Graphic Design & Illustration,Graphic Design,"8,306"
3680900,1,Development,javascript-academy,$19.99,Practical  SQL with Oracle Database 18c,https://www.udemy.com/course/practical-sql-with-oracle-database-18c/,Learn how to execute SQL Queries on Oracle 18c Database,2,17,1h 49m,English,6/2021,4.3,10,5,0.5,Development,Database Design & Development,Oracle SQL,"3,073"
1644554,1,Development,javascript-academy,$109.99,Introduction to using SQL for Reporting,https://www.udemy.com/course/introduction-to-using-sql-for-reporting/,Learn how to use SQL to generate reports that can be helpful to a business.,5,39,3h 47m,English,6/2021,4.4,10,5,0.5,Development,Database Design & Development,SQL,"2,064"
4369942,1,Business,javascript-academy,$54.99,Tableau Data Analyst - Data Analysis | Data Visualization,https://www.udemy.com/course/tableau-data-analyst-data-analysis-data-visualization/,Analyse Data and create visualization with Tableau,2,21,1h 29m,English,10/2021,4.3,11,5,0.5,Business,Business Analytics & Intelligence,Tableau,"1,523"
1211960,1,Development,javascript-academy,$119.99,How To Build A Facebook Messenger Chat Bot From Scratch,https://www.udemy.com/course/how-to-build-a-facebook-messenger-chat-bot-from-scratch/,Learn to create your own messaging chatbot,3,24,1h 18m,English,6/2021,4.1,74,5,0.5,Development,Web Development,Chatbot,"15,785"
691760,1,Development,javascript-academy,$64.99,Ajax  for Beginners: A Very Basic Introduction,https://www.udemy.com/course/ajax-for-beginners-a-very-basic-introduction/,Learn the very basics of Ajax from writing syntax to how ajax works,2,19,1h 59m,English,6/2021,4.2,44,5,0.5,Development,Web Development,AJAX,"9,771"
4176740,1,Development,mohammad-azam-2,$199.99,SwiftUI Cookbook - Over 100 Recipes for Building iOS Apps,https://www.udemy.com/course/swiftui-cookbook-over-100-recipes-for-building-ios-apps/,"A problem focused approach for learning SwiftUI to build iOS, macOS, watchOS and tvOS apps",18,112,10h 48m,English,9/2021,4.9,36,5,0.5,Development,Mobile Development,SwiftUI,680
4239654,1,Teaching & Academics,javascript-academy,$129.99,"Python Django Engineer (REST APIs, PostgreSQL,GitHub,Heroku)",https://www.udemy.com/course/python-django-engineer-rest-apis-postgresqlgithubheroku/,Gain useful skills with modern tech stacks | Build Real Web Apps,12,213,20h 0m,English,8/2021,4.7,31,5,0.5,Teaching & Academics,Engineering,Django,"9,361"
1458240,1,Development,javascript-academy,$134.99,PHP From Scratch : Practical Beginners Introduction,https://www.udemy.com/course/php-from-scratch-practical-beginners-introduction/,Learn PHP From The Ground Up With Practical Hands-On Examples,9,56,4h 57m,English,6/2021,4.9,30,5,0.5,Development,Programming Languages,PHP,"4,097"
803644,1,Development,javascript-academy,$119.99,SQL Developer Skills For Beginners,https://www.udemy.com/course/sql-developer-skills-for-beginners/,Learn SQL Developer Skills,6,47,5h 23m,English,6/2021,4.1,22,5,0.5,Development,Web Development,SQL,103
2244422,1,Development,javascript-academy,$99.99,SSIS :  Create a basic  package and implement a lookup logic,https://www.udemy.com/course/ssis-create-a-basic-package-and-implement-a-lookup-logic/,Learn to create a new SSIS Package with data flow and lookup,2,21,1h 50m,English,6/2021,3.8,16,5,0.5,Development,Database Design & Development,SSIS,"1,458"
2367514,1,Development,365careers,$149.99,Statistik für Data Science und Business Analytics,https://www.udemy.com/course/statistik-fur-data-science-und-business-analytics/,"Statistik zur Anwendung im Beruf: deskriptive und Inferenzstatistik, Hypothesentests, datengestützte Entscheidungen",12,67,3h 23m,German,7/2020,4.5,40,5,0.5,Development,Data Science,Statistics,592
2643050,1,Business,365careers,$199.99,Customer Analytics in Python 2021,https://www.udemy.com/course/customer-analytics-in-python/,"Beginner and Advanced Customer Analytics in Python: PCA, K-means Clustering, Elasticity Modeling & Deep Neural Networks",13,76,5h 10m,English,11/2020,4.5,972,5,0.5,Business,Business Analytics & Intelligence,Marketing Analytics,"11,402"
978016,1,Development,javascript-academy,$124.99,Introduction to Data Analysis and Reporting  with SQL,https://www.udemy.com/course/introduction-to-data-analysis-and-reporting-with-sql/,Learn how to design and write simple SQL queries for data reporting and analysis,7,34,3h 10m,English,,4.1,33,5,0.5,Development,Database Design & Development,Data Analysis,771
3803412,1,Development,javascript-academy,$24.99,Create an Image Upload Web App with Python and Django,https://www.udemy.com/course/create-an-image-upload-web-app-with-python-and-django/,Practical Step by Step Image Upload Web App with Python and Django,2,28,1h 48m,English,6/2021,4.6,61,5,0.5,Development,Web Development,Web App Development,"16,157"
1067762,1,Development,javascript-academy,$64.99,Create a web application with python + Django + PostgreSQL,https://www.udemy.com/course/create-a-web-application-with-python-django-postgresql/,Build a web application that interacts with a database.,2,48,4h 27m,English,6/2021,4.4,289,5,0.5,Development,Web Development,PostgreSQL,"3,765"
1035000,1,Development,bretfisher,$199.99,Docker Mastery: The Complete Toolset From a Docker Captain,https://www.udemy.com/course/docker-mastery/,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",22,176,19h 36m,English,11/2021,4.6,51836,5,0.5,Development,Software Development Tools,Docker,"251,944"
